股票代码,标题,作者ID,最后更新
600900,没想到能被你套这么久，果然去年的热门票，都是散户？,未知,04-02 02:14
600900,你真不考虑出手护一下吗,未知,04-02 01:05
600900,大哥醒醒啊，今天该你出场啦,未知,04-02 10:17
600900,27.50的压力位确实很强，价格多次上攻，都没有能站上，当前形成26-27区间整,未知,04-02 01:53
600900,你们在外围跌成狗，我在电力躲熊市,未知,04-02 01:43
600900,哇暴力拉升啊,未知,04-02 01:48
600900,说实话，长电还是挺牛逼的，逆势反弹还没啥量，散户们被266吓跑了不少吧。,未知,04-02 01:44
600900,24等,未知,04-02 12:32
600900,中国国贸高收益高工资高分红高回报！说明公司的护城河太宽，经历疫情、地产债务危机经,未知,04-02 01:29
600900,我服了，下午才上涨,未知,04-02 01:23
600900,骨头不疼肉疼，天天跌几分，难受,未知,04-02 11:35
600900,后悔加错仓了，从银行跑到这里,未知,04-02 12:27
600900,加油，跌破26我加满,未知,04-02 10:39
600900,靠能力真没在它身上赚过钱，全靠它分红平摊了亏损,未知,04-02 10:50
600900,温水煮青蛙，把钱套住，两年不涨,未知,04-02 11:21
600900,这三个月来大起大落，长电是唯一一只没绿过的票，拿着他睡得着,未知,04-02 12:18
600900,板块六连跌，你作为板块的老大哥，五连跌，真的可以,未知,04-02 11:59
600900,三、风险控制与止盈止损止损位短期止损：若股价跌破26.00元（近期低点），且成交,未知,04-02 10:13
600900,无语了，从买入就天天跌,未知,04-02 11:18
600900,我是4股华能水电换1股长江电力过来的，我们为分红而来，账总要这样算。我懂投资，没,未知,04-01 11:48
600900,咋天天跌啊,未知,04-02 11:11
600900,15个阴，,未知,04-02 11:01
600900,下跌非常好！每股分红1.07元后又可以多买好多中国国贸股票！要送钱给我我有什么理,未知,04-02 10:05
600900,这种垃圾股也好吹捧的？,未知,04-02 10:57
600900,不要想着抄底抄在最低点,未知,04-02 10:53
600900,发牌手接客赢麻了，虽然从30一路跌下来，但是红包没少收，感谢家人们。至少才亏10,未知,03-30 10:14
600900,市场完全低估了长电的投资版图，如果全球能源市场通胀，长电的投资效应会放大,未知,04-02 10:22
600900,股市的现状就是一个月内，一到十五日前是休闲时间，资金无所事事，但不会做多，十五日,未知,04-02 10:47
600900,不要慌，这股每年分红1块，只需要26年持有成本就能降到0,未知,04-02 09:57
600900,长期持有,未知,04-02 10:00
600900,这是一个类似债券的股票，中国中长利率一涨他就跌,未知,04-02 10:41
600900,已经没有防御属性了，对比银行石油神华他已经掉队了,未知,04-02 10:25
600900,说好的现金奶牛呢,未知,04-02 10:36
600900,点心,未知,04-02 10:22
600900,又开始阴跌了，难受，被它套牢了,未知,04-02 10:25
600900,今天建仓,未知,04-02 10:09
600900,开始买，越跌越买,未知,04-02 10:18
600900,这个这么奇怪吗电力都涨他不长,未知,04-02 09:42
600900,真的是纯纯的肺雾，股息率还低，当初不懂事买了这玩意,未知,04-02 10:11
600900,为什么天天跌？还有没有投资价值？丛24年跌到现在,未知,04-02 10:07
600900,不管大盘怎么涨跌，这货都是绿的,未知,04-02 09:48
600900,只看均线的话或者看K线的话进入了下跌趋势,未知,04-02 10:08
600900,四大行不服，对冲开始！,未知,04-02 10:04
600900,市场情绪又要避险了,未知,04-02 09:34
600900,这只股大盘红的时候它也跌大盘跌它还是跌，都不知道跌了多少天了，每次跌的也不多,未知,04-02 09:58
600900,卖了，垃圾。,未知,04-02 09:55
600900,前期涨过头了，现在没它啥事了,未知,04-02 09:55
600900,跌破26准备补仓了，兄弟们,未知,04-02 09:55
600900,五连杀，周线即将破位,未知,04-02 09:54
600900,飞流直下三千尺！,未知,04-02 09:53
600900,100多亿的融资盘负的5%的融券利息，买一个百分之3.5股息率的股票，还美其名曰,未知,04-02 09:53
600900,掉出26就全仓,未知,04-02 09:53
600900,最尴尬的走势，大资金压错了，又不甘心亏钱买回来,未知,04-02 09:52
600900,我大长电都不算保命资产了么,未知,04-02 09:51
600900,伪好股，清仓了，喋喋不休,未知,04-02 09:50
600900,长江电力，抖音上的好股！,未知,04-02 09:38
600900,大盘绿，今天应该是红。,未知,04-02 09:33
600900,装鸡毛,未知,04-02 09:46
600900,要震仓了，大家抓好扶手，大盘要红了,未知,04-02 09:40
600900,股,未知,04-02 09:39
600900,差不多要红了,未知,04-02 09:34
600900,看着节奏要跌到25左右,未知,04-02 09:34
600900,今天涨停,未知,04-02 09:12
600900,不是哥们，天天跌啊,未知,04-02 09:32
600900,横盘快两年了,未知,04-02 09:24
600900,老登们的欢乐场,未知,04-02 09:23
600900,$长江电力(SH600900)$$川能动力(SZ000155)$,未知,04-02 07:11
600900,等绿吧,未知,04-02 08:05
600900,长江电力：融资净买入3547.7万元，融资余额116.64亿元,未知,04-02 07:34
600900,长江电力这个价大盘应该是2500点。长江电力这个价。所有电力股必须下跌30%以上,未知,04-01 11:09
600900,看看月k涨了十几年了才刚刚开始回调,未知,04-01 11:34
600900,你们放心。他们在挣扎。我们是来分红的，你感觉能做高抛低吸更好。市场就长江电力靠谱,未知,04-01 11:24
600900,要去24-25吗？,未知,04-01 09:53
600900,因外围因素短期影响不改长期向上趋势，回调正是加仓降低成本时！坚信国盛是A股走出多,未知,04-01 10:27
600900,太多人因为ai和博主推荐进这个股了，估计还要跌，就是可怜了我这个拿了那么多年的。,未知,04-01 04:57
600900,爽歪歪！连续五年每年分红复购让我的中国国贸股票数量增长5%+，下次再创出历史新高,未知,04-01 10:08
600900,一定要等25块啊,未知,04-01 09:43
