代码	    名称	市盈(动)	市净率	总市值
SH688258	卓易信息	157	14.31	12894379700.00 
SH688259	创耀科技	48.62	2.43	3853650000.00 
SH688260	昀冢科技		22.82	3122400000.00 
SH688261	东微半导	190.3	2.84	8382902500.00 
SH688262	国芯科技		5.61	11024157100.00 
SH688265	南模生物	98.63	1.81	3198842900.00 
SH688266	泽璟制药-U		24.21	26153169000.00 
SH688267	中触媒	22.96	1.72	4863120000.00 
SH688268	华特气体	75.93	5.41	10919670300.00 
SH688269	凯立新材	44.29	4.63	4884408500.00 
SH688270	臻镭科技	238.2	14.08	31733150000.00 
SH688271	联影医疗	48.9	4.27	92305695000.00 
SH688272	富吉瑞		7.98	3312840000.00 
SH688273	麦澜德	36.79	2.79	3755000000.00 
SH688275	万润新能		2.59	13571608000.00 
SH688276	百克生物		1.9	7305193200.00 
SH688277	天智航-U		8.78	10410298100.00 
SH688278	特宝生物	25.65	7.67	26450678000.00 
SH688279	峰岹科技	80.08	3.45	17533026000.00 
SH688280	精进电动-UW	35.14	7.64	5683834700.00 
SH688281	华秦科技	62.35	4.14	19543317000.00 
SH688282	理工导航		4.4	5602080000.00 
SH688283	坤恒顺维	100.8	4.78	4713660000.00 
SH688285	高铁电气	67.49	2.06	3473155900.00 
SH688286	敏芯股份	97.04	3.38	3630430800.00 
SH688288	鸿泉技术	103.8	4.04	3054299300.00 
SH688289	圣湘生物	52.81	1.47	10463747400.00 
SH688290	景业智能		3.8	4735471300.00 
SH688291	金橙子	109.4	4.22	4034801300.00 
SH688292	浩瀚深度		3.55	3670524400.00 
SH688293	奥浦迈	134.1	2.14	5591549100.00 
SH688295	中复神鹰	515.1	10.49	49545000000.00 
SH688296	和达科技		2.49	1491159500.00 
SH688297	中无人机	379.5	5.87	33615000000.00 
SH688298	东方生物		0.766	4596480000.00 
SH688299	长阳科技		2.46	4773596000.00 
SH688300	联瑞新材	69.36	11.91	20297900000.00 
SH688301	奕瑞科技	35.36	3.86	22982409000.00 
SH688302	海创药业-U		4.09	4358666600.00 
SH688303	大全能源		1.15	45049320000.00 
SH688305	科德数控	84	3.93	7456064600.00 
SH688306	均普智能	904.5	5.76	11029979500.00 
SH688307	中润光学	96.24	6.72	6067702900.00 
SH688308	欧科亿	119.6	4.69	12419905200.00 
SH688309	恒誉环保	129.9	6.04	4666412600.00 
SH688310	迈得医疗	38.49	2.91	2511579500.00 
SH688311	盟升电子		3.76	6506765800.00 
SH688312	燕麦科技	50.01	4.5	6868739700.00 
SH688313	仕佳光子	110.1	24.76	37600743000.00 
SH688314	康拓医疗	41.09	5.65	4055459500.00 
SH688315	诺禾致源	34.8	2.12	5781018000.00 
SH688316	青云科技-U		121.5	3318382400.00 
SH688317	之江生物		1.08	3627943000.00 
SH688318	财富趋势	85.1	6.99	26841321000.00 
SH688319	欧林生物	529.6	13.05	11789900600.00 
SH688320	禾川科技		3.72	4554572200.00 
SH688321	微芯生物	248.3	4.95	12654832600.00 
SH688322	奥比中光-UW	236.7	10.11	30085818000.00 
SH688323	瑞华泰		4.29	3668404600.00 
SH688325	赛微微电	106.9	5.72	10300503400.00 
SH688326	经纬恒润-W	136	3.06	13540135000.00 
SH688327	云从科技-UW		17.51	13096096800.00 
SH688328	深科达	131.5	3.96	3289912800.00 
SH688329	艾隆科技	97.97	2.32	1850484000.00 
SH688330	宏力达	10.33	1.5	6601000000.00 
SH688331	荣昌生物	102.4	20.11	72687765000.00 
SH688332	中科蓝讯	9.99	2.68	14144963000.00 
SH688333	铂力特	120.7	5.04	25344626000.00 
SH688334	西高院	26.83	2.29	6673495100.00 
SH688335	复洁科技	454	4.32	5013931600.00 
SH688336	三生国健	16.11	5.53	46714978000.00 
SH688337	普源精电	93.46	2.55	8045788300.00 
SH688338	赛科希德	35.87	1.81	3125893700.00 
SH688339	亿华通-U		3.12	6273076700.00 
SH688343	云天励飞-U		7.03	26826412000.00 
SH688345	博力威	69.17	3.45	3864922400.00 
SH688347	华虹公司	488.6	4.07	184015250000.00 
SH688348	昱能科技		2.64	9064091200.00 
SH688349	三一重能	39.42	2.09	28967668000.00 
SH688350	富淼科技	288.3	2.41	4112553300.00 
SH688351	微电生理	201.9	5.72	10315552000.00 
SH688352	颀中科技	53.5	2.31	14220886000.00 
SH688353	华盛锂电	1450	5.6	19219750000.00 
SH688355	明志科技	32.95	2.38	2627868700.00 
SH688356	键凯科技	88.42	4.25	5605337700.00 
SH688357	建龙微纳	33.77	1.78	3326990800.00 
SH688358	祥生医疗	27.97	2.36	3261734100.00 
SH688359	三孚新科		12.82	7548805400.00 
SH688360	德马科技	52.58	3.39	4916219200.00 
SH688361	中科飞测	922.5	10.4	53242320000.00 
SH688362	甬矽电子	183.9	5.72	15122195000.00 
SH688363	华熙生物	67.68	2.76	19700640000.00 
SH688365	光云科技		8.21	7758525700.00 
SH688366	昊海生科	35.49	1.65	8907160100.00 
SH688367	工大高科	315.7	5.35	3182525500.00 
SH688368	晶丰明源	452.4	4.99	16106608000.00 
SH688369	致远互联		2.94	2482949400.00 
SH688370	丛麟科技	134.8	1.22	3228890600.00 
SH688371	菲沃泰	205.5	3.15	6233076400.00 
SH688372	伟测科技	70.14	6.41	21045466000.00 
SH688373	盟科药业-U		19.73	4055491400.00 
SH688375	国博电子	130.2	10.22	66104013000.00 
SH688376	美埃科技	67.54	4.09	7858137900.00 
SH688377	迪威尔	57.57	3.74	7081102200.00 
SH688378	奥来德	112.3	4.55	9027010900.00 
SH688379	华光新材	22.14	3.11	4241742500.00 
SH688380	中微半导	57.55	5.15	16354910000.00 
SH688381	帝奥微		2.03	5152950000.00 
SH688382	益方生物-U		7.15	11000188300.00 
SH688383	新益昌		6.21	7680409500.00 
SH688385	复旦微电	236.2	8.95	54884014000.00 
SH688386	泛亚微透	69.17	5.2	7819303200.00 
SH688387	信科移动-U		8.53	51007750000.00 
SH688388	嘉元科技	313.3	2.55	18523682000.00 
SH688389	普门科技	28.09	2.47	5227525900.00 
SH688390	固德威	168.9	8.38	22981533000.00 
SH688391	钜泉科技	77.25	1.78	3311469900.00 
SH688392	骄成超声	104.4	6.81	12267736200.00 
SH688393	安必平		1.85	2201648000.00 
SH688395	正弦电气	55.37	2.86	2240283000.00 
SH688396	华润微	89.45	2.57	59158504000.00 
SH688398	赛特新材	159.4	3.47	3977194200.00 
SH688399	硕世生物		1.5	4403265400.00 
SH688400	凌云光	111.9	3.65	18004686000.00 
SH688401	路维光电	37.05	5.56	9288459700.00 
SH688403	汇成股份	85.02	3.53	13154780900.00 
SH688408	中信博		1.91	7816270800.00 
SH688409	富创精密		6.15	27589590000.00 
SH688410	山外山	33.56	2.69	4803597300.00 
SH688411	海博思创	44.33	8.8	42075009000.00 
SH688416	恒烁股份		4.61	5913325300.00 
SH688418	震有科技		9.12	7975612900.00 
SH688419	耐科装备	58.26	4.51	4680581200.00 
SH688420	美腾科技		1.48	2137353100.00 
SH688425	铁建重工	19.38	1.55	28747549000.00 
SH688426	康为世纪		1.62	2253249100.00 
SH688428	诺诚健华	74.22	6.17	47680680000.00 
SH688429	时创能源		4.13	5676011400.00 
SH688432	有研硅	80.23	3.71	16791554000.00 
SH688433	华曙高科	451.2	15.05	31137210000.00 
SH688435	英方软件		3.18	3489465000.00 
SH688439	振华风光	73.34	1.97	9912000000.00 
SH688443	智翔金泰-U		5.93	9409008800.00 
SH688448	磁谷科技	378.5	3.73	3779658800.00 
SH688449	联芸科技	135	10.07	19186600000.00 
SH688450	光格科技		2.43	2278980000.00 
SH688455	科捷智能	143.7	4.79	4565393200.00 
SH688456	有研粉材	75.39	4.22	5345746200.00 
SH688458	美芯晟		1.91	3652824600.00 
SH688459	哈铁科技	40.83	1.31	4536000000.00 
SH688466	金科环境	41.64	1.81	2110823700.00 
SH688468	科美诊断	66.57	2.09	2956166000.00 
SH688469	芯联集成-U		4.04	52810929000.00 
SH688472	阿特斯	45.66	1.96	46632193000.00 
SH688475	萤石网络	36.61	3.58	20742750000.00 
SH688478	晶升股份		2.62	3961421300.00 
SH688479	友车科技	106.8	2.43	4556100300.00 
SH688480	赛恩斯	66.67	6.38	7332489700.00 
SH688484	南芯科技	61.73	3.52	14698783000.00 
SH688485	九州一轨		2.82	3712213900.00 
SH688486	龙迅股份	44.67	4.89	7679674500.00 
SH688488	艾迪药业		6.48	6248624700.00 
SH688489	三未信安		2.35	4305385600.00 
SH688496	清越科技		2.86	2677500000.00 
SH688498	源杰科技	452.6	37.05	86415282000.00 
SH688499	利元亨	155.9	3.43	7947112800.00 
SH688500	慧辰股份		5.38	3900369600.00 
SH688501	青达环保	16.47	2.64	2980181700.00 
SH688502	茂莱光学	341	12.3	15818352000.00 
SH688503	聚和材料	47.72	4	20025864000.00 
SH688505	复旦张江		3.9	8261479600.00 
SH688506	百利天恒		17.33	114778921000.00 
SH688507	索辰科技	230	2.59	7400484500.00 
SH688508	芯朋微	39.88	2.73	7429539400.00 
SH688509	正元地信		2.97	3388000000.00 
SH688510	航亚科技	78.42	6.64	8008867700.00 
SH688512	慧智微-U		3.22	5298674300.00 
SH688513	苑东生物	40.13	3.88	11366912000.00 
SH688515	裕太微-U		6.22	9335200000.00 
SH688516	奥特维	52.17	6.23	23138907000.00 
SH688517	金冠电气	30.18	2.99	2450840500.00 
SH688518	联赢激光	46.97	2.48	8089404800.00 
SH688519	南亚新材	126.8	10.59	30468581000.00 
SH688520	神州细胞		130.1	17955936000.00 
SH688521	芯原股份		31.13	106392660000.00 
SH688522	纳睿雷达	87.66	4.12	9508002100.00 
SH688523	航天环宇	612.2	15.68	26280379000.00 
SH688525	佰维存储	116.1	18.2	99027251000.00 
SH688526	科前生物	16.29	1.59	6768179400.00 
SH688528	秦川物联		3.71	1795920000.00 
SH688529	豪森智能		2.52	2865718200.00 
SH688530	欧莱新材		5.73	4623695000.00 
SH688531	日联科技	62.32	2.79	10879521800.00 
SH688533	上声电子	22.61	2.38	4162623000.00 
SH688535	华海诚科	410.6	4.66	9957645400.00 
SH688536	思瑞浦	137.2	3.81	23739318000.00 
SH688538	和辉光电-U		3.93	31485518000.00 
SH688539	高华科技	109.7	3.8	6672668800.00 
SH688543	国科军工	56.55	5.78	13944382000.00 
SH688545	兴福电子	79.48	5.56	16437600000.00 
SH688548	广钢气体	102.6	4.89	29356617000.00 
SH688549	中巨芯-U		4.22	12645482600.00 
SH688550	瑞联新材	21.67	2.05	6736472000.00 
SH688551	科威尔	53.91	2.63	3499022900.00 
SH688552	航天南湖	452.2	5.59	14447704000.00 
SH688553	汇宇制药-W		1.87	7074120000.00 
SH688556	高测股份		2.76	10866523100.00 
SH688557	兰剑智能	27.83	2.58	3203604800.00 
SH688558	国盛智科	23.57	2.14	3699960000.00 
SH688559	海目星		5.01	12065865400.00 
SH688560	明冠新材		1.12	2888682500.00 
SH688561	奇安信-U		2.7	20119633000.00 
SH688562	航天软件		4.46	7704000000.00 
SH688563	航材股份	49.6	2.55	26595000000.00 
SH688565	力源科技	203.8	3.96	1970446800.00 
SH688566	吉贝尔	22.64	2.41	5855290200.00 
SH688567	孚能科技		1.72	15936235000.00 
SH688568	中科星图	1585	13.03	49292814000.00 
SH688569	铁科轨道	26.89	1.56	4605174100.00 
SH688570	天玛智控	77.1	1.75	7542860000.00 
SH688571	杭华股份	30.41	1.97	3300048000.00 
SH688573	信宇人		5.92	1868086400.00 
SH688575	亚辉龙	347.8	3.1	8353696900.00 
SH688576	西山科技	59.26	1.78	3096734100.00 
SH688577	浙海德曼	149.4	6.98	7082954800.00 
SH688578	艾力斯	19.8	6.11	43200000000.00 
SH688579	地纬智能	67.45	2.89	4052101300.00 
SH688580	伟思医疗	35.77	2.89	4887208800.00 
SH688581	安杰思	19.54	1.73	4353822000.00 
SH688582	芯动联科	76.16	9.14	23108031000.00 
SH688583	思看科技	112.3	9.12	10727340000.00 
