代码	    名称	市盈(动)	市净率	总市值
SZ300290	荣科科技		11.65	9039421200
SZ300291	百纳千成		2.06	6291822900
SZ300292	吴通控股	50.33	4.4	6158701200
SZ300293	蓝英装备		6.02	5621456900
SZ300294	博雅生物	83.04	1.26	9358856600
SZ300295	三六五网		1.63	1841149200
SZ300296	利亚德	52.24	2.41	19417757000
SZ300298	三诺生物	31.6	2.78	8891442100
SZ300299	富春股份		9.62	4134897500
SZ300300	海峡创新		69.68	9882673500
SZ300301	ST长方		17.9	2946034100
SZ300302	同有科技	767.4	8.86	9503801100
SZ300303	聚飞光电	40.13	3.22	12269535900
SZ300304	云意电气	24.25	3.3	11319272500
SZ300305	裕兴股份		1.15	2353760300
SZ300306	远方信息	45.6	2.19	3259780400
SZ300307	慈星股份	53.6	1.63	5219610600
SZ300308	中际旭创	58.6	21.26	6.32682E+11
SZ300310	宜通世纪	474.3	2.72	5192968700
SZ300311	ST任子行		5.81	3435513800
SZ300313	*ST天山		73.79	1944607600
SZ300314	戴维医疗	37.63	2.99	3643200000
SZ300315	掌趣科技	127	2.62	12969456700
SZ300316	晶盛机电	44.81	3.09	53834934000
SZ300317	珈伟新能		2.68	4175847700
SZ300318	博晖创新		3.55	4778867900
SZ300319	麦捷科技	30.23	2.05	9878858000
SZ300320	海达股份	25.51	2.34	5928169100
SZ300321	同大股份	263	4.65	2950824000
SZ300322	硕贝德	169	10.83	10930506500
SZ300323	华灿光电		2.38	15645708000
SZ300324	旋极信息		2.94	8119675800
SZ300326	ST凯利	47.32	1.61	4495669500
SZ300327	中颖电子	133.4	4.51	8025612700
SZ300328	宜安科技	26226	10.95	11992657900
SZ300329	海伦钢琴		5.37	3641598400
SZ300331	苏大维格	228.4	6.95	10866866700
SZ300332	天壕能源	41.21	1.24	5260172500
SZ300333	兆日科技		5.14	2983680000
SZ300334	津膜科技	1248	3.68	2232263000
SZ300335	迪森股份	40.04	1.84	3558512400
SZ300337	银邦股份	130.9	6.46	11161885900
SZ300338	ST开元			1521921300
SZ300339	润和软件	294.8	8.58	30884812000
SZ300340	科恒股份			3011375800
SZ300341	麦克奥迪	38.1	3.8	7321356300
SZ300342	天银机电	670.9	13.85	21710794000
SZ300343	ST联创	311	3.55	6826915500
SZ300345	华民股份		8.35	4351725300
SZ300346	南大光电	77.79	9.07	31198823000
SZ300347	泰格医药	52.2	2.21	46349032000
SZ300348	长亮科技		4.92	10405620100
SZ300349	金卡智能	20.66	1.29	5703306000
SZ300350	华鹏飞	449.3	3.27	3018005900
SZ300351	永贵电器	64.15	2.44	6090251800
SZ300352	北信源		7.45	9177386500
SZ300353	东土科技		5.94	11805943300
SZ300354	东华测试	35.47	5.82	4788645400
SZ300355	蒙草生态	59.87	1.38	5935695700
SZ300357	我武生物	29.24	5.1	13445637000
SZ300358	楚天科技	59.75	1.28	6729021200
SZ300359	全通教育		5.65	3103333800
SZ300360	炬华科技	13.01	1.97	8319547700
SZ300363	博腾股份	107.1	2.15	11412285700
SZ300364	中文在线		41.11	19436383000
SZ300365	恒华科技	397.2	2.09	3929053300
SZ300366	ST创意		2.11	3451032500
SZ300368	汇金股份		32.85	6119876000
SZ300369	绿盟科技		2.65	6606568400
